PropertyID,PropType,Address,District,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
98519,Residential,9411 W COUNTY LINE RD,9,40,Ranch,Aluminum/Vinyl,1.0,1959,6,1334.0,1,3,1,1,83200.0,2022-08-09,280000.0
98561,Residential,9322 N JOYCE AV,9,40,Ranch,Aluminum/Vinyl,1.0,1980,10,1006.0,1,6,1,0,8303.0,2022-05-23,233100.0
98593,Residential,9360 N 85TH ST,9,40,Ranch,Aluminum/Vinyl,1.0,1982,5,1007.0,1,3,1,0,7200.0,2022-07-25,215000.0
98604,Residential,9305 N BURBANK AV,9,40,Ranch,Aluminum/Vinyl,1.0,1984,5,1301.0,1,3,2,0,7200.0,2022-03-29,150000.0
98608,Residential,9217 N 83RD ST,9,40,Colonial,Aluminum/Vinyl,2.0,2007,9,2237.0,1,4,2,1,15677.0,2022-05-10,400000.0
98696,Condominium,"9192 N 70TH ST, Unit 2",9,5010,Condo Townhouse,,2.0,1973,7,1437.0,1,3,2,1,0.0,2022-05-16,122000.0
98715,Condominium,"9212 N 70TH ST, Unit 8",9,5010,Condo Townhouse,,2.0,1973,7,1437.0,1,4,2,1,0.0,2022-04-14,123000.0
98717,Condominium,"9242 N 70TH ST, Unit 2",9,5010,Condo Townhouse,,2.0,1973,7,1437.0,1,4,2,1,0.0,2022-03-11,106000.0
98719,Condominium,"9238 N 70TH ST, Unit 4",9,5010,Condo Ranch,,1.0,1973,4,898.0,1,2,1,1,0.0,2022-07-07,95000.0
98723,Condominium,"9230 N 70TH ST, Unit 8",9,5010,Condo Townhouse,,1.0,1973,10,1437.0,1,6,2,1,0.0,2022-02-04,122000.0
98726,Condominium,"9258 N 70TH ST, Unit 1",9,5010,Condo Townhouse,,2.0,1973,10,1253.0,1,6,1,1,0.0,2022-01-19,108000.0
98737,Condominium,"9280 N 70TH ST, Unit 1",9,5010,Condo Townhouse,,2.0,1973,7,1437.0,1,3,2,1,0.0,2022-11-04,145000.0
98772,Condominium,"6951 W GLENBROOK RD, Unit 3",9,5010,Condo Townhouse,,2.0,1973,6,1244.0,1,3,2,1,0.0,2022-12-06,58000.0
98784,Condominium,"6923 W GLENBROOK RD, Unit 3",9,5010,Condo Townhouse,,2.0,1973,5,1244.0,1,3,2,1,0.0,2022-10-28,99000.0
98789,Condominium,"6933 W GLENBROOK RD, Unit 8",9,5010,Condo Townhouse,,2.0,1973,5,1253.0,1,3,1,1,0.0,2022-12-06,110000.0
